,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,Mean over,idx_corrected,idx_main,outputwImg,predictionwImg,gold_referencewImg,tagwImg,outputwoImg,predictionwoImg,gold_referencewoImg,tagwoImg
0,14.79024,22.979883,26.262604,29.504385,33.626396,35.844948,37.607616,43.443367,50.47504,54.04609,51.543137,52.56104,56.599155,58.687042,60.919415,62.63826,65.50194,68.85454,70.996796,70.58171,71.74814,74.26067,77.50964,80.03946,81.836685,85.03771,92.264206,88.59425,96.46406,All tokens,114,367, 1,1,2,grade4,2,2,2,grade4
1,30.2343,56.61049,65.42662,74.33733,85.09071,90.271935,91.29071,98.4503,107.10289,110.50834,100.520256,102.36671,108.61707,109.27802,113.29821,113.624985,117.72749,123.10444,125.691666,123.19246,123.902176,126.94971,127.25298,131.60419,133.59216,135.56244,149.59686,147.06453,163.07576,All tokens,25,88," To determine which sample has the higher temperature, I'll compare the average kinetic energies:

1. Calculate kinetic energy for Sample A:
   Mass (m) = 40 u
   Speed (v) = 950 m/s
",50,1,grade6,1,1,1,grade6
2,31.11713,45.228302,49.33792,53.815964,60.769157,63.75067,66.18459,72.97673,80.127174,82.3783,72.91141,70.98058,75.638824,77.416565,81.45992,84.306885,89.08437,95.27909,98.4014,97.32958,98.99491,99.19876,100.32315,99.29412,100.36411,107.95407,120.27453,125.61497,140.27837,All tokens,281,916, 1,1,1,grade7,0,0,1,grade7
3,34.55479,49.01828,52.77683,56.75674,63.160645,65.69861,67.458496,73.38168,81.52773,83.746826,73.170715,72.6115,78.68187,79.60008,84.3298,87.815025,92.23839,97.86855,101.53129,100.24994,101.06536,101.16594,104.614525,104.08728,107.4864,115.78977,133.6404,140.04826,153.0443,All tokens,250,814, 3,3,3,grade6,2,2,3,grade6
4,16.529488,37.69868,43.93437,50.19328,57.469658,60.845585,62.34754,68.066696,73.57417,75.997574,72.964066,73.442345,77.58227,78.59896,79.773994,81.882034,84.889626,89.285904,91.60624,88.9558,91.15112,95.1467,98.90361,102.56375,99.353455,101.74783,105.59337,105.10162,117.15355,All tokens,228,760, 0,0,0,grade3,1,1,0,grade3
5,33.271675,47.914234,51.687965,55.71967,62.082886,64.57262,66.206375,72.27763,80.59597,82.736824,73.11568,73.00583,78.72393,79.1109,83.38879,86.60129,92.122604,97.56234,102.03231,100.234116,101.748604,102.70166,106.42935,106.99957,111.77127,119.898705,138.51892,145.01472,158.19237,All tokens,142,442, 3,3,3,grade8,0,0,3,grade8
6,27.4377,46.127483,51.580658,57.823315,65.09706,68.920685,70.2742,76.4179,83.35782,85.863655,79.017166,79.36707,83.666,84.79981,87.45953,90.301735,93.85758,98.29471,100.58469,97.83771,99.44783,101.677895,102.36343,102.71948,100.58359,102.656715,108.11419,110.475945,129.6246,All tokens,104,332, 1,1,1,grade3,0,0,1,grade3
7,13.902745,43.87776,53.606117,65.878174,78.98951,86.15197,89.45595,97.16238,106.08795,109.73779,99.23273,99.31272,106.44027,108.59449,109.66729,110.52779,113.8391,118.383865,121.24471,117.167564,118.39471,122.18238,125.367836,130.59616,129.55713,129.40962,132.69838,126.29364,142.12962,All tokens,558,1752, 1,1,0,grade7,0,0,0,grade7
8,21.91675,33.32941,36.305054,39.62517,44.99897,47.76458,49.57043,57.948025,67.42698,73.111,67.466736,67.031525,72.299355,73.74115,76.25795,77.80577,81.081894,85.886795,87.879906,86.117676,87.70627,89.613266,92.40034,91.85013,96.23764,103.989395,116.948265,123.09892,139.77171,All tokens,89,283, 1,1,1,grade5,2,2,1,grade5
9,41.237614,55.095314,58.884182,62.243694,68.83362,70.4951,71.755806,74.808815,82.11221,83.11083,73.31082,72.1114,78.14975,79.74996,83.49462,84.48951,88.7551,92.474915,95.08955,93.48128,94.21522,94.6169,98.04573,97.11865,100.38666,107.880295,116.77585,118.687164,127.83927,All tokens,604,1881, 0,0,0,grade5,2,2,0,grade5
