,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,Mean over
0,48.236584,62.86906,66.29053,69.761444,75.67815,78.36932,78.97092,88.391365,97.30244,105.8962,96.5559,94.63924,98.98287,99.61613,99.14031,101.14028,101.68885,109.02851,111.55242,106.45021,107.59389,109.22416,112.461174,115.82633,123.93644,134.02322,154.56882,162.92126,173.53929,All tokens
1,46.00686,62.29242,66.651,70.596794,77.88644,80.83132,82.11331,89.227394,95.54387,98.07743,90.70618,87.63436,92.79786,94.61383,97.96511,98.80717,100.783165,106.51383,109.22531,106.17175,108.36436,110.664375,112.97899,115.96907,123.19112,135.34161,157.32277,168.23862,184.74806,All tokens
2,89.828125,110.398056,114.60046,119.59802,127.63547,131.07681,132.65175,137.73816,143.72156,149.5075,135.01378,129.2703,132.56563,133.15958,133.7633,132.35106,133.41296,139.35066,141.38034,135.5501,137.06685,139.43137,145.7362,154.49852,167.2197,185.15959,214.15034,228.26106,235.45262,All tokens
3,48.870964,64.85979,68.85651,72.25919,79.00432,81.73898,83.49745,90.00588,97.22285,98.35346,91.27673,88.62941,93.929794,95.85619,96.85111,97.25081,98.56778,104.64302,107.66548,103.52409,106.45732,109.33474,115.09503,119.426254,126.96465,137.99658,163.43892,175.76552,200.37038,All tokens
4,49.581287,64.89648,69.16857,72.68199,79.37724,82.11421,82.7608,88.2221,92.56563,95.6779,85.51468,83.960625,87.28081,88.41236,90.09894,91.027725,92.51951,99.182724,102.13301,99.46794,102.74467,104.59991,105.98076,108.64363,111.86691,122.24467,143.15504,152.011,168.99016,All tokens
5,66.437675,85.0884,89.80324,94.244125,102.24231,105.83572,107.66471,113.429565,119.63088,124.08534,112.43866,106.70818,110.58625,111.0976,110.98652,110.68052,111.3164,117.199814,118.85713,114.44727,117.24581,119.973526,126.25847,132.07764,142.45584,158.20142,185.24887,200.30379,223.7382,All tokens
6,78.76915,101.384605,107.20983,113.14693,121.11015,125.0734,127.67948,135.12592,144.11568,149.53725,138.52711,133.32239,139.19853,140.26913,141.66937,142.03911,144.18207,151.53192,155.94142,149.87196,151.7225,153.71327,159.97491,166.85887,174.68576,184.56749,207.80948,221.33032,246.85779,All tokens
7,78.697174,90.812996,94.201035,97.628975,105.00815,107.390594,107.68842,109.619804,113.01261,114.100815,99.49749,96.31752,101.358025,102.28878,103.12275,102.12225,102.75452,108.321785,109.89442,104.25582,105.614365,107.21081,112.9261,116.592026,126.48462,139.22655,161.52393,169.37907,180.45273,All tokens
8,50.501297,66.468796,70.263306,73.80203,80.060104,82.928345,83.38676,90.1591,96.05119,98.4503,89.689026,89.033676,93.63434,94.88703,96.52074,98.01487,99.654175,106.767426,110.83521,106.61891,108.65499,112.199844,115.62938,120.74676,126.739105,135.89641,156.08984,161.59512,172.25745,All tokens
9,37.978443,53.758144,57.867012,61.013134,67.52924,69.97967,71.06213,77.6788,83.74076,86.421715,82.053314,81.07454,87.5573,88.4396,91.36448,93.00438,95.58511,101.21964,104.74475,102.51936,104.532394,107.192604,113.01558,117.267334,122.06411,132.9604,152.61986,158.56067,170.62827,All tokens
0,51.76569,61.037987,62.55728,64.054924,68.11215,69.55932,69.457405,77.96655,85.67091,93.87862,85.41475,83.27582,87.07669,87.79937,87.51664,89.44268,90.23243,97.399185,99.91087,95.49017,97.10976,98.85741,102.11972,105.26643,113.81077,124.03027,144.49779,157.29419,158.28857,Img tokens
1,48.699333,59.159233,61.512287,63.46505,68.82384,70.54387,71.45987,78.140396,83.57142,86.20832,79.655594,76.395134,80.936264,82.89105,85.99658,86.790535,88.91428,94.62055,97.343414,94.838905,97.10934,99.37967,101.96591,104.66177,112.204185,124.418724,146.28435,161.20586,168.38966,Img tokens
2,101.0925,111.27038,112.71458,114.64604,119.71973,121.2309,121.508354,126.12519,131.26463,137.34937,123.778694,117.556725,120.20731,121.06067,121.552055,119.958984,121.28573,127.42956,129.56157,124.46923,126.358574,128.71028,135.56639,143.7531,156.36464,174.2421,203.1972,224.77899,221.322,Img tokens
3,52.553715,62.341484,64.46955,66.08116,70.70794,72.12484,73.280556,79.19835,85.23248,86.61437,80.39036,77.37947,82.05124,83.91732,84.96936,85.41007,86.79468,92.77614,95.76002,92.321594,95.32053,98.02161,103.65475,107.58577,115.158875,126.17447,151.48685,168.82326,183.78534,Img tokens
4,52.644527,61.832886,64.12225,65.89158,70.7159,72.3417,72.69992,77.76442,81.284935,84.394005,75.12223,73.218735,76.009315,77.18136,78.8384,79.68215,81.28489,87.79041,90.72361,88.66998,92.09607,93.935486,95.47232,97.97992,101.579285,112.434746,133.19286,145.54863,153.2221,Img tokens
5,73.23078,84.393845,86.61661,88.521286,94.03999,96.03846,97.00373,102.10881,107.01136,111.45077,100.825935,94.71779,98.05293,98.70069,98.5691,98.30156,99.07698,104.938965,106.64307,102.9074,105.85299,108.331184,114.77447,120.22216,130.84207,146.44571,173.47755,194.27945,207.14378,Img tokens
6,88.25252,101.10933,104.052795,107.418465,112.6782,114.96842,116.30722,123.03414,131.03,136.60796,126.63399,121.07326,126.30913,127.51538,128.87622,129.27911,131.66942,139.22229,143.66777,138.40094,140.87416,142.9247,150.00337,156.55273,164.88046,175.24724,198.4473,219.44849,233.78703,Img tokens
7,87.68937,89.541595,90.75866,92.19657,97.36631,98.48308,98.21478,99.93499,102.67546,103.81857,89.75204,85.76967,89.75507,90.48285,91.23204,90.27986,91.2729,96.773926,98.425095,93.4364,95.06738,96.4601,102.10043,105.2962,114.740204,126.980705,148.62349,160.33928,164.1582,Img tokens
8,54.100224,63.66494,65.38639,66.82348,71.051186,72.63446,72.554886,78.680145,83.766754,86.3118,78.526886,77.54307,81.441475,82.858536,84.43438,85.87042,87.57684,94.62696,98.75483,95.28258,97.66264,101.04917,104.43892,109.16965,115.18133,124.3826,144.51025,153.8755,156.56796,Img tokens
9,39.32123,49.81527,52.19102,53.846626,58.52705,59.96945,60.850143,66.98976,72.12983,75.04684,71.35043,70.18037,75.87095,77.01068,79.81855,81.23615,83.96999,89.69925,93.24159,91.55157,93.58439,96.01048,101.59987,105.397026,110.104065,120.86064,140.42065,150.69191,155.9926,Img tokens
0,27.789331,35.179626,35.008533,35.512466,36.216747,35.66659,35.541595,35.81403,33.884796,33.413643,32.17682,30.662397,30.08747,29.510265,28.910444,28.332037,27.751863,27.358295,27.774986,27.149624,26.36985,27.424673,27.59573,29.165674,30.212414,30.809189,31.182901,30.167925,28.130487,Text tokens
1,28.369184,33.836967,33.751232,34.004734,34.78878,34.43833,34.016953,34.098526,32.85162,32.47528,30.941921,29.909082,29.697496,29.472921,28.719234,28.08392,27.650742,27.483454,27.644098,27.002527,26.346567,27.30004,27.439371,29.11294,30.239628,31.318615,31.190819,30.105408,28.100431,Text tokens
2,27.535357,33.22886,32.995316,33.17906,33.97586,33.601486,33.16594,33.259888,31.940699,31.630823,30.45606,29.55693,29.352558,29.005198,28.28232,27.742107,27.271011,27.048828,27.200426,26.571836,25.944532,26.81588,26.956333,28.674303,29.667667,30.798977,30.955727,29.91634,27.972263,Text tokens
3,27.521152,33.30822,33.10867,33.270546,34.106327,33.76983,33.33902,33.406654,32.22977,31.985868,30.733437,29.730219,29.471048,29.158625,28.405624,27.692755,27.147425,26.885834,27.044006,26.26384,25.674572,26.34737,26.557589,28.02806,29.231218,30.440918,30.598738,29.60459,27.95589,Text tokens
4,27.5021,33.165924,33.00788,33.1312,33.951492,33.59491,33.11605,33.21554,32.033234,31.818344,30.407387,29.47243,29.29808,28.941582,28.1462,27.352081,26.87784,26.814642,27.083841,26.648375,26.0374,26.916433,26.953653,28.555601,29.807886,30.841146,30.901743,29.811754,27.971365,Text tokens
5,27.576408,33.411148,33.350426,33.533897,34.299778,33.87762,33.572056,33.667027,32.376984,31.919815,30.657633,29.58825,29.242752,28.944893,28.233992,27.495663,26.961876,26.779528,26.916576,26.251823,25.74773,26.828512,26.959038,28.520199,29.56833,30.698597,30.765928,29.709833,28.000154,Text tokens
6,27.51367,33.133987,33.06373,33.184498,33.871452,33.53103,33.159206,33.138943,31.88412,31.5683,30.269203,29.287336,29.115726,28.834366,27.999367,27.298203,26.711504,26.475842,26.61253,25.781792,25.142529,25.893787,26.043892,27.665203,28.931622,30.14016,30.398794,29.488209,27.973284,Text tokens
