,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,contains,Mean over
0,2.9630911,77.00888,77.271805,88.69629,99.300644,101.0695,104.200455,90.19372,96.44166,95.02178,92.325905,87.19136,96.99943,94.87183,93.699455,98.776405,99.42583,105.53774,104.87834,90.36604,88.01306,96.03617,103.69306,116.37951,118.61712,122.08506,118.803116,93.89634,56.124912,both img and text,All tokens
1,2.9910355,76.4937,76.22341,87.87723,96.85929,99.336975,101.68502,87.95986,94.3138,92.69729,90.657234,86.10581,94.95294,92.607025,91.45313,96.299614,97.12703,103.051575,102.07726,88.218895,85.63885,92.698975,100.20856,111.72128,112.210976,115.32256,111.72757,88.17958,55.250454,both img and text,All tokens
2,3.060934,78.68723,77.83127,89.391174,98.700935,101.17462,103.90822,89.00744,94.89017,93.605995,91.55266,86.38937,95.44387,93.31859,92.05327,97.594864,98.076065,104.0849,103.50034,89.88725,87.478004,94.99795,103.02696,115.16228,116.034065,119.38834,116.8077,93.26272,57.019627,both img and text,All tokens
3,3.066016,78.66394,77.80585,89.09007,100.15796,102.41093,104.78411,89.90153,95.88965,94.24533,91.813484,87.12187,96.53257,93.84787,92.96435,98.48336,99.23012,105.18846,104.78802,90.77852,88.95457,97.09448,105.56552,117.58285,118.91319,122.46924,119.680405,94.23603,57.528553,both img and text,All tokens
4,2.9207177,75.45579,75.63057,86.70607,96.955505,99.75383,101.729645,88.25247,94.7416,93.55945,91.06037,86.36968,95.75344,93.10687,92.2873,97.8945,98.230194,104.1564,103.905785,89.445366,87.57792,95.462395,103.11223,115.70318,116.88035,120.349625,118.19711,93.48774,57.149574,both img and text,All tokens
5,2.9175303,75.03871,75.156235,86.87484,95.845955,98.66117,100.681335,87.32929,94.04295,92.25065,90.496994,86.07412,95.706375,93.47588,92.406235,98.31257,98.57051,104.11568,103.433754,89.460594,87.325096,95.36717,102.78925,114.77595,115.81009,119.21313,115.52891,90.97383,57.243042,both img and text,All tokens
6,2.9823153,76.072334,75.56792,86.91594,96.82895,99.160965,102.38344,88.605194,94.53586,93.32067,91.113266,86.40033,95.53421,92.86811,91.87134,97.81616,98.89437,104.49138,103.95474,89.8885,88.0047,95.50306,102.28576,113.84197,115.1139,118.41848,115.49079,91.814964,56.1906,both img and text,All tokens
7,2.9336095,76.009926,75.69587,86.886894,96.97676,99.56574,102.174904,87.8456,94.02291,92.254524,90.35924,85.675735,94.37106,92.05521,90.67945,96.78081,97.18215,102.878944,101.731094,87.89458,86.934135,94.53393,101.78049,113.54858,113.88193,117.51458,114.06677,90.46197,56.601795,both img and text,All tokens
8,3.1218529,79.95187,79.06813,90.63549,101.1437,103.74137,106.35853,91.88693,98.09066,96.73946,93.945465,88.87864,98.38798,95.78463,94.53401,99.48767,99.986984,105.56321,105.13079,91.18594,89.19659,97.30147,104.94293,116.93589,117.47318,120.86606,117.16439,93.02328,56.463993,both img and text,All tokens
9,3.010609,77.66936,77.35896,88.83699,98.44195,100.56493,103.022934,88.891815,94.72033,93.043686,90.93609,86.04597,95.27181,93.05566,91.80346,97.72832,97.678894,103.51496,102.7774,88.31971,86.55468,93.889175,101.74249,114.38115,115.76708,119.10358,116.574844,92.02478,57.637424,both img and text,All tokens
0,30.016134,31.445421,31.30556,31.527021,31.97831,31.108807,30.6,29.38072,31.107708,31.65581,33.089993,32.724697,34.271698,34.519848,34.875042,36.440037,37.01075,38.79807,40.539494,40.462826,41.284756,41.2256,42.332176,42.613518,41.886414,41.77601,42.66455,42.588673,45.33871,both img and text,Img tokens
1,30.75098,32.388893,32.12529,33.16581,33.098015,32.752144,31.876102,30.184216,31.639332,32.220844,33.5272,33.420624,34.975452,34.65365,34.464207,36.5627,36.595882,38.205143,40.10289,39.941936,40.845356,40.567284,41.367165,41.473907,40.385017,40.853848,41.29895,41.34165,44.656357,both img and text,Img tokens
2,29.092552,30.7736,30.487844,31.893536,32.20229,31.915684,31.39256,29.74393,31.186857,31.810757,33.28372,33.40089,34.911053,34.847263,34.66186,36.66613,36.617783,38.596783,40.777,40.744045,41.886234,41.528572,42.17931,42.330727,41.675514,42.17043,42.890556,42.753445,44.353096,both img and text,Img tokens
3,31.6524,33.497135,33.260387,34.916847,35.198036,34.74768,34.44584,32.287243,33.778362,34.18861,35.846855,35.505413,37.04497,36.932636,36.330864,38.15404,38.23845,39.896,41.558975,41.45837,42.515316,42.511078,43.70871,44.489822,44.178448,43.84191,44.36346,44.712643,47.00806,both img and text,Img tokens
4,29.099226,30.655752,30.38884,30.9401,31.255539,30.486982,30.05511,28.775595,30.398708,31.298306,32.445004,32.35424,33.888817,33.78702,33.696335,35.925022,36.21642,38.03087,39.996582,40.267426,40.98118,40.868633,41.470688,41.861984,41.518993,42.38129,42.780117,43.169197,45.305008,both img and text,Img tokens
5,28.931923,30.589298,30.65209,31.931059,32.277443,32.13166,31.411013,29.973822,31.3256,32.154655,33.303326,33.34111,34.89625,35.140892,35.403008,37.334,37.442863,38.90372,40.825367,40.696842,41.33253,40.928352,41.973682,42.48623,41.21616,41.110107,40.675434,40.46083,45.969654,both img and text,Img tokens
6,30.065578,31.770107,31.892942,33.17877,33.45604,33.151497,32.689472,31.274345,32.382965,32.977596,34.083107,33.78202,35.051403,34.994705,34.914177,36.796043,36.92553,38.542133,40.28819,39.891495,40.280502,39.884785,40.803036,41.029587,40.09642,40.364285,41.128216,41.405777,45.184982,both img and text,Img tokens
7,29.370096,30.906221,30.473518,31.497135,31.532803,31.44427,31.023672,29.714111,31.243305,31.924435,32.736664,32.70651,33.925125,33.947384,34.061077,35.49502,35.92591,37.467815,39.104465,38.969376,39.773853,39.737625,40.38611,41.084076,40.714096,41.801342,41.916157,42.68446,44.83934,both img and text,Img tokens
8,31.454134,33.12078,32.725204,34.40634,34.387447,33.93825,33.449207,31.636066,33.37815,33.744137,35.826633,35.459362,36.51593,36.40125,35.637657,38.15595,37.861965,39.561123,41.13296,40.86812,41.66816,41.581593,42.57519,42.978752,42.528877,42.935146,43.117157,43.84115,46.366558,both img and text,Img tokens
9,30.142763,31.582067,31.406677,32.44406,32.495914,32.215252,31.725542,29.927114,31.272274,31.65027,32.9806,32.676895,34.018517,34.06065,33.973965,35.697895,36.24577,37.908096,39.739567,39.887608,40.472313,40.364933,41.480328,42.085003,41.24384,41.56305,42.687077,42.619766,44.949306,both img and text,Img tokens
0,37.689335,75.05657,68.15624,76.02413,90.160225,95.31131,97.91691,80.77237,88.27683,88.8408,82.25333,78.17618,88.51702,88.36217,90.28227,94.36773,97.34927,100.871864,99.97693,88.933784,82.97387,89.40742,93.02567,104.6206,106.34326,109.288666,107.37314,91.9418,51.855896,both img and text,Text tokens
1,37.573036,73.79739,66.92032,74.5292,88.4771,94.10953,96.28625,79.623505,87.42647,87.65638,81.4056,77.76928,87.47655,87.20841,89.02964,92.97796,95.82977,99.05421,98.10058,87.68121,81.21946,86.904755,90.41419,101.28028,101.55618,104.1124,102.35806,88.02241,51.697186,both img and text,Text tokens
2,37.452156,74.57002,67.868355,75.67396,89.207016,94.88817,96.902214,79.740074,87.318016,87.89851,82.046814,78.10616,87.99044,87.76266,89.594345,93.55186,96.557014,99.79941,98.75483,88.55146,82.37175,88.56177,92.05327,103.44223,104.28437,107.00243,105.679344,91.666534,53.20795,both img and text,Text tokens
3,37.29814,73.903076,67.04006,74.49943,88.70364,94.19846,96.3602,79.075745,86.73064,87.16389,81.35861,77.988525,88.04085,87.70986,90.10715,94.311584,97.48793,100.8799,100.01016,89.94304,84.65784,91.394714,95.21727,106.015686,107.26624,110.65747,109.2302,93.701515,53.978455,both img and text,Text tokens
4,37.843185,74.08273,67.23105,74.47112,89.11272,94.92781,96.49065,79.76023,87.35124,87.95898,81.36925,77.380356,87.41054,87.1203,89.25041,93.504326,96.64761,99.905014,99.21551,88.45107,82.81805,89.2179,92.70587,104.15207,104.61232,107.458115,106.59935,91.5892,52.23437,both img and text,Text tokens
5,37.57684,73.855515,67.00279,74.38499,88.84373,94.8145,96.45453,79.39849,87.12549,87.38787,81.49629,77.955956,88.21852,88.038956,90.21824,94.41108,97.30291,100.21314,99.1588,88.4779,82.76665,89.55031,92.86971,103.972145,104.65693,107.62611,105.837746,90.80095,52.12719,both img and text,Text tokens
6,37.314587,73.10849,66.14903,73.489174,88.31676,93.81418,95.996376,79.01973,86.30953,86.93994,81.11314,77.51142,87.3333,86.91864,88.933075,93.354904,96.812836,100.03401,99.02016,88.71702,83.150276,89.521065,92.487755,103.4225,104.47146,107.33101,106.113556,91.87694,51.75854,both img and text,Text tokens
7,37.54572,73.96512,67.09772,74.19151,88.714264,94.600204,96.79543,79.50806,86.981735,87.20916,81.27877,77.741394,87.38195,87.0642,88.92947,93.322495,96.538925,99.650375,98.280365,87.549614,82.68688,89.129036,92.25725,103.199196,103.106476,105.62297,103.61758,89.33076,51.885876,both img and text,Text tokens
8,37.55398,74.68762,67.63339,75.437584,89.57072,95.24702,97.570145,81.01171,88.916275,89.48445,83.24247,79.445076,89.59529,89.298256,91.01527,95.11817,98.14348,101.38688,100.54939,90.23777,84.6398,91.29101,94.40667,105.248924,105.96868,108.81312,106.66006,91.986534,52.461006,both img and text,Text tokens
9,37.580467,74.80286,68.17688,75.73251,89.71443,95.139755,97.28746,80.23307,87.32292,87.78182,81.513275,77.672585,87.714836,87.70811,89.81643,93.87369,96.56645,99.65176,98.63643,87.62922,82.10109,88.27874,91.891266,103.58285,104.741005,107.60446,106.33232,91.96623,53.267914,both img and text,Text tokens
